id,r,x0,y0,xf,yf,mass,Δx,Δy,Δr,dx,dy,dr,height_strat,perturb_strengh,perturb_x,perturb_y
1,0.51890004,27.74329,13.793607,27.755102,13.804918,0.27914584,0.011811709,0.0113110375,0.016354084,12.218453,2.3712718,12.446426,2,0.5,15.524837,11.422335
2,0.43805233,32.541145,0.0,32.540726,0.0,0.1989371,0.00042124864,0.0,0.00042124864,17.01631,-11.422335,20.494501,0,0.5,15.524837,11.422335
3,0.46382824,16.554369,2.0369456,16.550575,2.0198357,0.22303765,0.0037949174,0.017109849,0.017525647,1.0295334,-9.385389,9.441689,0,0.5,15.524837,11.422335
4,0.40167233,19.997705,0.0,19.998034,0.0,0.167266,0.00032838352,0.0,0.00032838352,4.472868,-11.422335,12.266877,0,0.5,15.524837,11.422335
5,0.51837075,11.947057,5.870278,11.916514,5.8639193,0.27857667,0.030542953,0.0063585755,0.031197812,3.5777795,-5.552057,6.604986,1,0.5,15.524837,11.422335
6,0.527762,27.190445,8.853497,27.18653,8.865925,0.28876197,0.003915594,0.012427862,0.013030105,11.665608,-2.5688384,11.945097,1,0.5,15.524837,11.422335
7,0.4711925,27.040836,4.289893,27.05333,4.2811284,0.23017628,0.012492421,0.008764723,0.015260438,11.516,-7.1324415,13.545847,0,0.5,15.524837,11.422335
8,0.50087607,33.364937,5.7048106,33.36618,5.7143736,0.26009044,0.0012436185,0.009562885,0.00964341,17.840101,-5.717524,18.733908,1,0.5,15.524837,11.422335
9,0.49824244,17.064224,17.638044,17.060856,17.836996,0.25736248,0.0033678233,0.19895233,0.19898084,1.5393872,6.215709,6.4034953,3,0.5,15.524837,11.422335
10,0.42342293,30.131136,9.620572,30.128586,9.634159,0.18587138,0.0025502073,0.013586811,0.013824073,14.606298,-1.8017627,14.717008,1,0.5,15.524837,11.422335
11,0.5062978,43.05444,13.179062,43.054207,13.192696,0.26575166,0.00023532886,0.013633294,0.013635324,22.470396,1.7567271,22.538961,2,0.5,15.524837,11.422335
12,0.49452487,27.59626,16.74975,27.613209,16.767902,0.25353625,0.016949983,0.01815281,0.02483599,12.071424,5.327415,13.194719,3,0.5,15.524837,11.422335
13,0.4776575,46.644398,7.4833508,46.641052,7.492,0.23653588,0.0033437177,0.008649096,0.009272934,18.88044,-3.938984,19.286955,1,0.5,15.524837,11.422335
14,0.46713054,5.02872,0.0,5.030779,0.0,0.22622487,0.0020591964,0.0,0.0020591964,10.496117,-11.422335,15.512518,0,0.5,15.524837,11.422335
15,0.53729194,8.902578,9.933172,8.886323,9.922191,0.29928467,0.016255395,0.010982061,0.019617429,6.622258,-1.4891623,6.787629,1,0.5,15.524837,11.422335
16,0.49926636,42.08282,0.0,42.083504,0.0,0.25842136,0.0006824631,0.0,0.0006824631,23.442015,-11.422335,26.076767,0,0.5,15.524837,11.422335
17,0.4719251,16.406805,16.908518,16.378063,17.010612,0.23089258,0.02874211,0.10209453,0.1060632,0.88196945,5.4861827,5.556624,3,0.5,15.524837,11.422335
18,0.52352583,22.032135,0.0,22.032425,0.0,0.28414503,0.00028966612,0.0,0.00028966612,6.507299,-11.422335,13.1459,0,0.5,15.524837,11.422335
19,0.43719277,23.006878,8.396362,23.02734,8.386364,0.19815716,0.02046235,0.009998153,0.022774346,7.4820423,-3.0259728,8.070779,1,0.5,15.524837,11.422335
20,0.5721748,29.332924,7.1878133,29.338219,7.1995406,0.33940738,0.005294646,0.01172725,0.012867077,13.808088,-4.234522,14.4428005,1,0.5,15.524837,11.422335
21,0.49590966,7.7532883,8.283067,7.7316365,8.30073,0.25495818,0.021651432,0.017662413,0.027941821,7.7715483,-3.139268,8.381644,1,0.5,15.524837,11.422335
22,0.51041377,30.650307,11.556605,30.65601,11.566842,0.27009004,0.005702053,0.010236818,0.011717759,15.125471,0.13427044,15.126067,2,0.5,15.524837,11.422335
23,0.50044936,16.0117,7.2225037,16.019634,7.203709,0.25964746,0.0079342555,0.018794283,0.02040043,0.4868637,-4.1998315,4.227957,1,0.5,15.524837,11.422335
24,0.51958364,17.645529,7.8298044,17.67507,7.7730994,0.27988183,0.029541107,0.056704726,0.063938275,2.1206915,-3.5925307,4.1717634,1,0.5,15.524837,11.422335
25,0.5427631,12.858185,12.088251,12.788286,12.0548,0.30541086,0.0698981,0.033451386,0.077490255,2.666652,0.66591597,2.7485409,2,0.5,15.524837,11.422335
26,0.43372852,34.42084,15.028455,34.426758,15.048026,0.19502926,0.0059167766,0.01957131,0.020446135,18.896006,3.6061194,19.237024,3,0.5,15.524837,11.422335
27,0.4316105,40.63638,11.86935,40.631424,11.8760395,0.19312914,0.004954693,0.0066895536,0.008324608,24.888456,0.4470152,24.892471,2,0.5,15.524837,11.422335
28,0.5348924,9.506783,10.814408,9.455271,10.8257885,0.2966174,0.05151158,0.011380942,0.052753847,6.0180535,-0.60792696,6.0486813,2,0.5,15.524837,11.422335
29,0.5243891,21.4799,9.55401,21.528332,9.5443535,0.28508285,0.048431475,0.009656603,0.04938479,5.955063,-1.8683245,6.2412667,1,0.5,15.524837,11.422335
30,0.49331704,42.103878,11.215065,42.10361,11.23054,0.2522993,0.00026820067,0.015475927,0.015478251,23.420958,-0.20727032,23.421875,2,0.5,15.524837,11.422335
31,0.5111517,46.55375,0.8845868,46.554104,0.8850991,0.27087155,0.00035160346,0.00051232235,0.0006213688,18.971087,-10.537748,21.701296,0,0.5,15.524837,11.422335
32,0.6218928,49.908066,3.810382,49.90121,3.8106663,0.40095434,0.006858077,0.00028434044,0.006863969,15.616769,-7.6119533,17.37312,0,0.5,15.524837,11.422335
33,0.48196167,35.39258,18.431597,35.396374,18.455074,0.24081792,0.0037956708,0.02347822,0.02378306,19.86774,7.009261,21.06791,3,0.5,15.524837,11.422335
34,0.37932357,49.068638,7.0076137,49.063854,7.0156713,0.14917068,0.004784606,0.008057771,0.00937124,16.456198,-4.4147215,17.038082,1,0.5,15.524837,11.422335
35,0.45413983,9.536783,14.96355,9.478993,15.010289,0.21381737,0.057789654,0.04673937,0.07432505,5.9880533,3.541215,6.9567943,2,0.5,15.524837,11.422335
36,0.5421818,27.760506,5.941368,27.771193,5.945299,0.30475697,0.010687651,0.003931029,0.011387663,12.235669,-5.480967,13.407185,1,0.5,15.524837,11.422335
37,0.51348776,6.4021797,0.91480696,6.3912573,0.9189171,0.27335313,0.010922349,0.00411015,0.011670091,9.122657,-10.507528,13.915136,0,0.5,15.524837,11.422335
38,0.54041284,1.8190942,16.916334,1.8125101,16.934649,0.30277157,0.0065841246,0.018314864,0.0194624,13.705742,5.4939995,14.765886,3,0.5,15.524837,11.422335
39,0.46941334,39.09528,9.442491,39.0901,9.450588,0.22844131,0.00517973,0.008097268,0.00961225,23.570442,-1.979844,23.653446,1,0.5,15.524837,11.422335
40,0.5312735,32.588776,2.3231006,32.590893,2.3270328,0.29261735,0.002116924,0.0039320537,0.004465693,17.06394,-9.099235,19.33841,0,0.5,15.524837,11.422335
41,0.55818385,14.452369,10.13568,14.377002,10.034743,0.32301173,0.07536743,0.10093665,0.12597007,1.0724677,-1.2866548,1.6750127,2,0.5,15.524837,11.422335
42,0.45435852,6.4289045,9.744191,6.41057,9.763574,0.21402337,0.018334715,0.019382184,0.026680157,9.095932,-1.6781437,9.24944,1,0.5,15.524837,11.422335
43,0.54662347,2.8406742,8.914906,2.8223822,8.922885,0.3097707,0.018291965,0.007979283,0.019956576,12.684162,-2.5074294,12.929624,1,0.5,15.524837,11.422335
44,0.49547535,35.321186,9.916843,35.325813,9.928668,0.2545118,0.004627193,0.011823908,0.0126970755,19.79635,-1.5054911,19.853514,1,0.5,15.524837,11.422335
45,0.49950176,42.381973,13.925405,42.38015,13.937779,0.2586651,0.0018203867,0.012375268,0.012508441,23.142864,2.5030692,23.277834,2,0.5,15.524837,11.422335
46,0.50168914,41.43668,10.301351,41.43545,10.307642,0.2609355,0.001227163,0.00629075,0.0064093266,24.088158,-1.1209841,24.114227,2,0.5,15.524837,11.422335
47,0.5269125,23.77124,16.21801,23.797369,16.266514,0.28783312,0.026128486,0.04850353,0.055093467,8.246404,4.795675,9.539479,3,0.5,15.524837,11.422335
48,0.45797798,18.943876,16.292007,18.980268,16.345318,0.21744679,0.036392532,0.053310834,0.064548135,3.4190395,4.869672,5.950087,3,0.5,15.524837,11.422335
