id,r,x0,y0,xf,yf,mass,Δx,Δy,Δr,dx,dy,dr,height_strat,perturb_strengh,perturb_x,perturb_y
1,0.57103264,0.10293595,1.9007319,0.09760197,1.9039624,0.33805367,0.0053339796,0.0032305026,0.006235983,20.285282,-1.6793429,20.354677,0,0.5,20.38822,3.5800748
2,0.5055886,39.811325,0.92891765,39.813866,0.9279795,0.26500762,0.0025416897,0.00093811995,0.0027092907,19.423105,-2.6511571,19.603205,0,0.5,20.38822,3.5800748
3,0.47259444,42.092342,1.7660172,42.09409,1.7655406,0.231548,0.0017453419,0.00047655962,0.0018092339,21.704124,-1.8140576,21.779802,0,0.5,20.38822,3.5800748
4,0.5882483,36.37991,17.06233,36.376713,17.082865,0.35874447,0.003198132,0.020536004,0.020783538,15.991691,13.482255,20.916628,3,0.5,20.38822,3.5800748
5,0.47496343,48.196434,9.700625,48.19801,9.710161,0.2338752,0.001574482,0.009535294,0.009664411,22.191784,6.1205506,23.020348,1,0.5,20.38822,3.5800748
6,0.48085958,40.481213,7.563292,40.488052,7.5685916,0.23971783,0.006839633,0.0052997475,0.008652624,20.092993,3.983217,20.484003,1,0.5,20.38822,3.5800748
7,0.4991024,10.0346155,18.361311,10.027268,18.377167,0.2582517,0.0073466282,0.01585568,0.017474998,10.353603,14.781237,18.046663,3,0.5,20.38822,3.5800748
8,0.44279203,16.21356,8.157015,16.18988,8.216851,0.20326538,0.023678632,0.059836518,0.064351276,4.1746597,4.57694,6.19485,1,0.5,20.38822,3.5800748
9,0.5098725,12.085954,10.602132,12.068659,10.623081,0.26951748,0.017294805,0.020949468,0.027165981,8.302265,7.022057,10.873679,2,0.5,20.38822,3.5800748
10,0.547856,17.107365,9.078471,17.114887,9.1481085,0.31116918,0.007522711,0.06963811,0.07004326,3.2808542,5.498396,6.40284,1,0.5,20.38822,3.5800748
11,0.60509694,4.616404,10.474201,4.618596,10.491419,0.37958908,0.0021920975,0.017217787,0.01735677,15.771815,6.894126,17.21276,2,0.5,20.38822,3.5800748
12,0.5210509,17.560286,15.506501,17.54623,15.533627,0.28146476,0.014055229,0.027125446,0.030550601,2.8279326,11.926426,12.257114,3,0.5,20.38822,3.5800748
13,0.53192353,36.413437,0.93160725,36.417305,0.9353891,0.29333386,0.0038692653,0.0037818842,0.0054105325,16.025219,-2.6484675,16.242598,0,0.5,20.38822,3.5800748
