id,r,x0,y0,xf,yf,mass,Δx,Δy,Δr,dx,dy,dr,height_strat,perturb_strengh,perturb_x,perturb_y
1,0.5333627,34.495087,15.528928,34.494045,15.545982,0.29492334,0.001038664,0.017053897,0.017085496,23.718723,13.118725,27.104958,3,0.5,8.213808,2.4102032
2,0.47865275,27.331398,10.029878,27.333021,10.051142,0.23752259,0.0016236266,0.021264136,0.021326032,19.117588,7.6196747,20.580128,2,0.5,8.213808,2.4102032
3,0.4752131,41.03908,13.475731,41.033325,13.496474,0.23412114,0.005756902,0.020743228,0.021527272,17.174726,11.065528,20.43079,2,0.5,8.213808,2.4102032
4,0.4586608,13.970749,18.220861,13.965075,18.248817,0.2180957,0.00567518,0.027957154,0.028527359,5.756941,15.8106575,16.826149,3,0.5,8.213808,2.4102032
5,0.6020877,23.024828,13.936739,23.029064,13.960137,0.37582296,0.00423658,0.023397865,0.023778323,14.81102,11.526536,18.767721,2,0.5,8.213808,2.4102032
6,0.42157653,18.98313,17.385088,18.982347,17.404226,0.18425389,0.0007815227,0.019138308,0.01915426,10.7693205,14.974885,18.445202,3,0.5,8.213808,2.4102032
7,0.5078793,9.9056015,12.935114,9.905227,12.988483,0.26741445,0.00037504514,0.053368658,0.053369973,1.6917933,10.524911,10.660015,2,0.5,8.213808,2.4102032
8,0.50145876,34.887363,9.0403805,34.888275,9.057467,0.2606959,0.0009133123,0.017086998,0.017111389,23.326447,6.6301775,24.25041,1,0.5,8.213808,2.4102032
9,0.48019826,36.268562,10.249326,36.269524,10.265313,0.23905894,0.000963689,0.015987813,0.016016832,21.945248,7.839123,23.30334,2,0.5,8.213808,2.4102032
10,0.48583767,20.870308,8.61073,20.884089,8.620278,0.24470687,0.013780182,0.009548459,0.016765038,12.6565,6.200527,14.09374,1,0.5,8.213808,2.4102032
11,0.4977192,17.6857,4.5784388,17.714512,4.559425,0.25682223,0.02881284,0.019013787,0.034521066,9.47189,2.1682355,9.71689,0,0.5,8.213808,2.4102032
12,0.5282816,42.59536,2.6311104,42.586674,2.6296952,0.2893309,0.008684288,0.0014151304,0.008798832,15.618448,0.22090715,15.62001,0,0.5,8.213808,2.4102032
13,0.542123,9.3512335,1.7002635,9.585726,2.1230698,0.30469093,0.23449253,0.42280626,0.48347893,1.1374253,-0.7099397,1.3408023,0,0.5,8.213808,2.4102032
14,0.5056684,49.0802,7.750006,49.05664,7.735503,0.26509127,0.023560846,0.014502851,0.027666697,9.133608,5.3398027,10.579995,1,0.5,8.213808,2.4102032
15,0.49788943,29.815607,13.462848,29.818592,13.485131,0.25699794,0.0029850195,0.022283817,0.022482857,21.601799,11.052645,24.265173,2,0.5,8.213808,2.4102032
16,0.43140343,45.31193,11.296915,45.30497,11.3165045,0.19294389,0.0069652614,0.019589882,0.020791305,12.9018755,8.886712,15.66627,2,0.5,8.213808,2.4102032
17,0.4075395,9.61108,15.040551,9.61485,15.06772,0.17218813,0.0037703342,0.027169792,0.027430149,1.3972715,12.630347,12.707401,3,0.5,8.213808,2.4102032
18,0.40392062,47.54999,5.4850383,47.500534,5.497339,0.16914372,0.04945903,0.012300603,0.050965678,10.6638155,3.074835,11.098269,1,0.5,8.213808,2.4102032
19,0.484527,2.703399,8.884112,2.6931279,9.003362,0.24338834,0.010270921,0.11924995,0.11969145,5.5104094,6.473909,8.501535,1,0.5,8.213808,2.4102032
20,0.48968872,33.769203,2.8263667,33.77356,2.8284502,0.24860166,0.004358443,0.0020835428,0.0048308563,24.444605,0.41616344,24.448147,0,0.5,8.213808,2.4102032
21,0.47961688,7.3314075,1.7068827,7.4600096,1.6366397,0.23848043,0.12860198,0.070243016,0.14653516,0.8824008,-0.7033205,1.1284019,0,0.5,8.213808,2.4102032
