id,r,x0,y0,xf,yf,mass,Δx,Δy,Δr,dx,dy,dr,height_strat,perturb_strengh,perturb_x,perturb_y
1,0.53129774,7.0050445,2.079588,7.013714,1.9292985,0.29264408,0.008669704,0.1502895,0.15053937,1.8709257,-2.438731,3.0737228,0,0.5,5.1341186,4.518319
2,0.4389753,36.30971,4.6298537,36.300816,4.635552,0.19977632,0.008894308,0.005698325,0.010563125,18.82441,0.11153477,18.82474,0,0.5,5.1341186,4.518319
3,0.40661213,23.035566,17.751577,23.0382,17.77346,0.17140538,0.0026340694,0.021882568,0.022040533,17.901447,13.233258,22.261648,3,0.5,5.1341186,4.518319
4,0.5639497,5.4816747,10.901575,5.493506,10.945621,0.32971945,0.011831456,0.044045597,0.045606993,0.34755594,6.383256,6.3927107,2,0.5,5.1341186,4.518319
5,0.5039963,22.7679,8.869028,22.774591,8.877612,0.263341,0.006690862,0.008584181,0.01088374,17.633781,4.3507094,18.162569,1,0.5,5.1341186,4.518319
6,0.5146792,29.780737,15.539051,29.78076,15.554141,0.2746231,2.1802984e-5,0.015089416,0.015089432,24.646618,11.020732,26.998377,3,0.5,5.1341186,4.518319
7,0.43850964,8.104416,15.84703,8.106368,15.869884,0.1993527,0.0019520323,0.02285351,0.022936726,2.9702973,11.3287115,11.711634,3,0.5,5.1341186,4.518319
8,0.50016654,42.329655,17.54953,42.33099,17.569572,0.25935408,0.0013363633,0.020042462,0.020086965,12.804463,13.031211,18.269283,3,0.5,5.1341186,4.518319
9,0.45157304,37.538113,15.752219,37.540028,15.766071,0.21140723,0.0019183634,0.013852656,0.013984856,17.596008,11.2339,20.876303,3,0.5,5.1341186,4.518319
10,0.42397302,13.385684,11.598421,13.396418,11.60779,0.18635467,0.010733805,0.009369545,0.014247909,8.251565,7.0801015,10.8727255,2,0.5,5.1341186,4.518319
11,0.48065698,40.196228,2.4940856,40.178715,2.5044737,0.2395159,0.017513948,0.010388045,0.020362953,14.937891,-2.0242333,15.074419,0,0.5,5.1341186,4.518319
12,0.48834193,8.064737,14.923249,8.069959,14.946143,0.24723607,0.0052214586,0.022894269,0.023482146,2.9306185,10.40493,10.809769,2,0.5,5.1341186,4.518319
13,0.56970364,34.94506,0.9003598,34.940926,0.9002329,0.33648196,0.004136282,0.00012689663,0.004138228,20.189056,-3.6179593,20.510672,0,0.5,5.1341186,4.518319
14,0.49067843,45.043903,15.432849,45.039154,15.451721,0.24960756,0.004747225,0.01887249,0.019460395,10.090217,10.91453,14.864032,3,0.5,5.1341186,4.518319
15,0.48500782,8.980439,5.624712,9.078787,5.7997446,0.24387166,0.09834716,0.17503282,0.20077014,3.8463206,1.1063929,4.0022855,1,0.5,5.1341186,4.518319
16,0.36156538,4.8337235,3.7836263,4.761704,3.7959645,0.13553065,0.07201951,0.012338198,0.073068745,0.30039516,-0.73469275,0.7937321,0,0.5,5.1341186,4.518319
17,0.5327871,45.913853,2.8341644,45.890938,2.8356664,0.2942871,0.022918079,0.0015020723,0.02296725,9.220264,-1.6841547,9.372814,0,0.5,5.1341186,4.518319
18,0.4836454,40.837875,10.931216,40.833054,10.943842,0.24250345,0.0048208856,0.012626215,0.013515259,14.296245,6.412897,15.668691,2,0.5,5.1341186,4.518319
19,0.354647,41.083447,11.73229,41.07391,11.746227,0.13039365,0.009536893,0.013936758,0.016887438,14.0506735,7.213971,15.794392,2,0.5,5.1341186,4.518319
20,0.5215973,6.2130504,6.973255,6.197844,7.0566845,0.2820555,0.015206137,0.08342938,0.08480382,1.0789316,2.4549363,2.6815677,1,0.5,5.1341186,4.518319
21,0.51742005,20.33343,5.034004,20.33404,5.0475254,0.2775558,0.0006099397,0.013521358,0.0135351075,15.199311,0.515685,15.208057,1,0.5,5.1341186,4.518319
22,0.49441522,16.278875,18.02344,16.280098,18.04584,0.25342384,0.0012229987,0.022400454,0.022433816,11.144757,13.50512,17.509823,3,0.5,5.1341186,4.518319
23,0.48837855,14.146573,16.167622,14.145466,16.184772,0.24727315,0.0011071392,0.017151358,0.017187055,9.012455,11.649302,14.728563,3,0.5,5.1341186,4.518319
24,0.5295833,41.35251,14.950697,41.35323,14.966893,0.29075846,0.0007203767,0.016195675,0.016211689,13.7816105,10.432378,17.284887,2,0.5,5.1341186,4.518319
25,0.51663154,27.967573,13.643204,27.965965,13.65811,0.2767105,0.0016085218,0.014905918,0.014992456,22.833454,9.124885,24.589228,2,0.5,5.1341186,4.518319
26,0.5458904,14.564222,6.814017,14.588654,6.8382883,0.30894038,0.024431331,0.024271078,0.03443799,9.430104,2.295698,9.705519,1,0.5,5.1341186,4.518319
27,0.5416905,36.507595,10.878101,36.503056,10.890642,0.304205,0.0045383913,0.012540285,0.013336256,18.626524,6.3597827,19.682333,2,0.5,5.1341186,4.518319
28,0.5792553,10.813236,0.0,10.829654,0.0,0.3478595,0.016417013,0.0,0.016417013,5.6791177,-4.518319,7.2572436,0,0.5,5.1341186,4.518319
29,0.5803368,21.796457,6.846085,21.794998,6.858691,0.34915963,0.0014589176,0.012605925,0.012690066,16.662338,2.327766,16.82415,1,0.5,5.1341186,4.518319
30,0.5057963,33.740723,7.0469956,33.73901,7.0566955,0.2652254,0.0017101237,0.009699818,0.009849416,21.393398,2.5286767,21.542322,1,0.5,5.1341186,4.518319
31,0.46186307,39.517406,9.896766,39.50859,9.909105,0.2211517,0.008816449,0.012339072,0.015165173,15.616712,5.378447,16.516943,1,0.5,5.1341186,4.518319
32,0.5014503,15.993596,15.529035,15.993545,15.555326,0.2606871,5.161564e-5,0.026292453,0.026292505,10.859478,11.0107155,15.4649315,3,0.5,5.1341186,4.518319
33,0.51439106,8.164014,17.14898,8.168376,17.170336,0.27431566,0.0043622735,0.021354888,0.021795886,3.029895,12.630661,12.98899,3,0.5,5.1341186,4.518319
34,0.52642614,19.96639,13.167117,19.969568,13.176248,0.28730205,0.003177734,0.009129834,0.00966705,14.832272,8.648799,17.169682,2,0.5,5.1341186,4.518319
35,0.5606049,7.328512,16.473707,7.3312874,16.497696,0.32581988,0.0027753932,0.02398891,0.024148926,2.1943936,11.955389,12.155109,3,0.5,5.1341186,4.518319
36,0.5032617,13.863434,2.3221025,13.883049,2.3326283,0.26257387,0.019615637,0.010525748,0.02226128,8.729315,-2.1962166,9.00135,0,0.5,5.1341186,4.518319
