id,r,x0,y0,xf,yf,mass,Δx,Δy,Δr,dx,dy,dr,height_strat,perturb_strengh,perturb_x,perturb_y
1,0.51890004,27.74329,13.793607,27.745672,13.8052225,0.27914584,0.0023826477,0.011615361,0.011857218,20.788103,9.5096,22.859959,2,0.5,6.9551864,4.284007
2,0.43805233,32.541145,0.0,32.540703,0.0,0.1989371,0.00044351353,0.0,0.00044351353,24.41404,-4.284007,24.787054,0,0.5,6.9551864,4.284007
3,0.46382824,16.554369,2.0369456,16.564812,2.0376346,0.22303765,0.010441332,0.000689197,0.010464054,9.599183,-2.2470615,9.858682,0,0.5,6.9551864,4.284007
4,0.40167233,19.997705,0.0,20.013,0.0,0.167266,0.015295398,0.0,0.015295398,13.042518,-4.284007,13.728073,0,0.5,6.9551864,4.284007
5,0.51837075,11.947057,5.870278,11.995843,5.91341,0.27857667,0.048785727,0.04313228,0.06511866,4.9918704,1.586271,5.2378454,1,0.5,6.9551864,4.284007
6,0.527762,27.190445,8.853497,27.187185,8.868164,0.28876197,0.0032588507,0.014667386,0.015025057,20.235258,4.56949,20.74478,1,0.5,6.9551864,4.284007
7,0.4711925,27.040836,4.289893,27.04602,4.28747,0.23017628,0.0051847156,0.0024232385,0.005723055,20.08565,0.0058863475,20.085651,0,0.5,6.9551864,4.284007
8,0.50087607,33.364937,5.7048106,33.362583,5.7142754,0.26009044,0.0023562533,0.00946482,0.009753704,23.590248,1.4208039,23.632996,1,0.5,6.9551864,4.284007
9,0.49824244,17.064224,17.638044,17.058428,17.659704,0.25736248,0.0057959137,0.02166065,0.022422675,10.109037,13.354037,16.74882,3,0.5,6.9551864,4.284007
10,0.42342293,30.131136,9.620572,30.128794,9.635003,0.18587138,0.0023424232,0.014431224,0.0146200955,23.17595,5.3365655,23.782421,1,0.5,6.9551864,4.284007
11,0.5062978,43.05444,13.179062,43.050343,13.196989,0.26575166,0.0040992163,0.017927391,0.018390078,13.900746,8.895055,16.503113,2,0.5,6.9551864,4.284007
12,0.49452487,27.59626,16.74975,27.600462,16.76246,0.25353625,0.004203213,0.012711588,0.013388483,20.641073,12.465743,24.113247,3,0.5,6.9551864,4.284007
13,0.4776575,46.644398,7.4833508,46.62558,7.4906497,0.23653588,0.018817676,0.0072988425,0.020183608,10.31079,3.1993442,10.79575,1,0.5,6.9551864,4.284007
14,0.46713054,5.02872,0.0,5.0432243,0.0,0.22622487,0.014504622,0.0,0.014504622,1.9264668,-4.284007,4.6972322,0,0.5,6.9551864,4.284007
15,0.53729194,8.902578,9.933172,8.915328,9.962506,0.29928467,0.0127493655,0.029333191,0.031984095,1.9473917,5.6491656,5.9754004,1,0.5,6.9551864,4.284007
16,0.49926636,42.08282,0.0,42.08099,0.0,0.25842136,0.0018331114,0.0,0.0018331114,14.872364,-4.284007,15.4770775,0,0.5,6.9551864,4.284007
17,0.4719251,16.406805,16.908518,16.40607,16.928793,0.23089258,0.00073541654,0.020276,0.020289334,9.451619,12.624511,15.770586,3,0.5,6.9551864,4.284007
18,0.52352583,22.032135,0.0,22.044239,0.0,0.28414503,0.012103644,0.0,0.012103644,15.076949,-4.284007,15.673771,0,0.5,6.9551864,4.284007
19,0.43719277,23.006878,8.396362,23.013556,8.401449,0.19815716,0.0066771023,0.0050873193,0.008394314,16.051691,4.112355,16.570103,1,0.5,6.9551864,4.284007
20,0.5721748,29.332924,7.1878133,29.332253,7.1969852,0.33940738,0.0006712426,0.009172037,0.009196566,22.377739,2.9038062,22.565355,1,0.5,6.9551864,4.284007
21,0.49590966,7.7532883,8.283067,7.7663307,8.358292,0.25495818,0.013042585,0.075224124,0.076346435,0.79810154,3.9990602,4.077922,1,0.5,6.9551864,4.284007
22,0.51041377,30.650307,11.556605,30.6525,11.568421,0.27009004,0.0021931105,0.011816129,0.01201793,23.69512,7.2725983,24.786074,2,0.5,6.9551864,4.284007
23,0.50044936,16.0117,7.2225037,16.056585,7.23327,0.25964746,0.04488434,0.01076675,0.046157632,9.056514,2.9384966,9.521302,1,0.5,6.9551864,4.284007
24,0.51958364,17.645529,7.8298044,17.662577,7.854711,0.27988183,0.017049521,0.024906589,0.030183181,10.690341,3.5457973,11.263041,1,0.5,6.9551864,4.284007
25,0.5427631,12.858185,12.088251,12.860668,12.116254,0.30541086,0.0024837363,0.028003195,0.028113127,5.902998,7.804244,9.785275,2,0.5,6.9551864,4.284007
26,0.43372852,34.42084,15.028455,34.42312,15.047522,0.19502926,0.002276285,0.019067192,0.019202586,22.534344,10.744448,24.964771,3,0.5,6.9551864,4.284007
27,0.4316105,40.63638,11.86935,40.627575,11.879136,0.19312914,0.008804389,0.009786169,0.013163828,16.318806,7.5853434,17.995579,2,0.5,6.9551864,4.284007
28,0.5348924,9.506783,10.814408,9.520521,10.840821,0.2966174,0.013738086,0.026413526,0.029772628,2.5515962,6.530401,7.01119,2,0.5,6.9551864,4.284007
29,0.5243891,21.4799,9.55401,21.493149,9.575018,0.28508285,0.013248519,0.0210076,0.024836313,14.524713,5.2700033,15.4512205,1,0.5,6.9551864,4.284007
30,0.49331704,42.103878,11.215065,42.09861,11.235177,0.2522993,0.0052682916,0.020112485,0.020791031,14.851308,6.931058,16.389048,2,0.5,6.9551864,4.284007
31,0.5111517,46.55375,0.8845868,46.55215,0.8841963,0.27087155,0.0015991521,0.00039047716,0.0016461349,10.401436,-3.39942,10.942848,0,0.5,6.9551864,4.284007
32,0.6218928,49.908066,3.810382,49.873108,3.806878,0.40095434,0.03495782,0.0035038632,0.035132978,7.047119,-0.47362503,7.063017,0,0.5,6.9551864,4.284007
33,0.48196167,35.39258,18.431597,35.393646,18.45323,0.24081792,0.0010701347,0.021634543,0.021660995,21.56261,14.14759,25.789541,3,0.5,6.9551864,4.284007
34,0.37932357,49.068638,7.0076137,49.050896,6.9999185,0.14917068,0.017744374,0.0076951804,0.019341111,7.8865485,2.7236066,8.343601,1,0.5,6.9551864,4.284007
35,0.45413983,9.536783,14.96355,9.544533,15.008772,0.21381737,0.007749674,0.0452225,0.045881715,2.5815964,10.679543,10.987142,2,0.5,6.9551864,4.284007
