id,r,x0,y0,xf,yf,mass,Δx,Δy,Δr,dx,dy,dr,height_strat,perturb_strengh,perturb_x,perturb_y
1,0.51890004,27.74329,13.793607,27.744661,13.804306,0.27914584,0.0013718157,0.010699508,0.010787091,24.744812,2.930543,24.917742,2,0.5,2.9984777,10.863064
2,0.43805233,32.541145,0.0,32.536713,0.0,0.1989371,0.0044352994,0.0,0.0044352994,20.45733,-10.863064,23.162655,0,0.5,2.9984777,10.863064
3,0.46382824,16.554369,2.0369456,16.549105,2.036089,0.22303765,0.0052643856,0.00085653446,0.005333611,13.555892,-8.826118,16.175987,0,0.5,2.9984777,10.863064
4,0.40167233,19.997705,0.0,20.001324,0.0,0.167266,0.003618764,0.0,0.003618764,16.999228,-10.863064,20.173742,0,0.5,2.9984777,10.863064
5,0.51837075,11.947057,5.870278,11.966698,5.875344,0.27857667,0.019640297,0.005065846,0.020283097,8.948579,-4.992786,10.247194,1,0.5,2.9984777,10.863064
6,0.527762,27.190445,8.853497,27.186422,8.866484,0.28876197,0.0040225196,0.012987337,0.013596014,24.191967,-2.0095673,24.275288,1,0.5,2.9984777,10.863064
7,0.4711925,27.040836,4.289893,27.042973,4.288633,0.23017628,0.002136746,0.001260226,0.0024806962,24.042358,-6.5731707,24.924719,0,0.5,2.9984777,10.863064
8,0.50087607,33.364937,5.7048106,33.36148,5.7137046,0.26009044,0.0034561732,0.00889365,0.009541601,19.63354,-5.158253,20.299839,1,0.5,2.9984777,10.863064
9,0.49824244,17.064224,17.638044,17.058594,17.659101,0.25736248,0.005629896,0.021058222,0.02179781,14.065746,6.77498,15.612353,3,0.5,2.9984777,10.863064
10,0.42342293,30.131136,9.620572,30.127905,9.63473,0.18587138,0.0032303387,0.0141577255,0.01452158,22.867342,-1.2424917,22.901073,1,0.5,2.9984777,10.863064
11,0.5062978,43.05444,13.179062,43.041355,13.193647,0.26575166,0.01308506,0.01458551,0.019594792,9.944037,2.315998,10.210177,2,0.5,2.9984777,10.863064
12,0.49452487,27.59626,16.74975,27.6004,16.762547,0.25353625,0.0041408446,0.01279751,0.013450757,24.597782,5.886686,25.29237,3,0.5,2.9984777,10.863064
13,0.4776575,46.644398,7.4833508,46.62381,7.4829345,0.23653588,0.020585459,0.00041652218,0.020589672,6.3540816,-3.379713,7.1970005,1,0.5,2.9984777,10.863064
14,0.46713054,5.02872,0.0,5.0320473,0.0,0.22622487,0.0033275043,0.0,0.0033275043,2.030242,-10.863064,11.051156,0,0.5,2.9984777,10.863064
15,0.53729194,8.902578,9.933172,8.939741,9.938626,0.29928467,0.037162982,0.0054539093,0.037561048,5.9041004,-0.9298913,5.9768806,1,0.5,2.9984777,10.863064
16,0.49926636,42.08282,0.0,42.07861,0.0,0.25842136,0.004213071,0.0,0.004213071,10.915655,-10.863064,15.399925,0,0.5,2.9984777,10.863064
17,0.4719251,16.406805,16.908518,16.405197,16.926575,0.23089258,0.0016090709,0.018056767,0.018128319,13.408328,6.0454535,14.708187,3,0.5,2.9984777,10.863064
18,0.52352583,22.032135,0.0,22.034138,0.0,0.28414503,0.0020031815,0.0,0.0020031815,19.033657,-10.863064,21.915434,0,0.5,2.9984777,10.863064
19,0.43719277,23.006878,8.396362,23.00791,8.399878,0.19815716,0.0010319932,0.0035153043,0.003663656,20.0084,-2.4667017,20.15988,1,0.5,2.9984777,10.863064
20,0.5721748,29.332924,7.1878133,29.330729,7.1961455,0.33940738,0.002196714,0.008332414,0.008617115,23.665552,-3.6752508,23.949236,1,0.5,2.9984777,10.863064
21,0.49590966,7.7532883,8.283067,7.822151,8.322893,0.25495818,0.068863116,0.039826103,0.07955028,4.7548103,-2.5799968,5.409677,1,0.5,2.9984777,10.863064
22,0.51041377,30.650307,11.556605,30.651516,11.568111,0.27009004,0.0012081823,0.011505724,0.011568983,22.348171,0.69354147,22.358929,2,0.5,2.9984777,10.863064
