id,r,x0,y0,xf,yf,mass,Δx,Δy,Δr,dx,dy,dr,height_strat,perturb_strengh,perturb_x,perturb_y
1,0.53129774,7.0050445,2.079588,7.00718,2.0820167,0.29264408,0.002135838,0.0024286234,0.0032341946,18.75278,-2.2159338,18.883251,0,0.5,25.757826,4.2955217
2,0.4389753,36.30971,4.6298537,36.336525,4.631092,0.19977632,0.026813336,0.0012380574,0.026841903,10.551885,0.33433205,10.557179,0,0.5,25.757826,4.2955217
3,0.40661213,23.035566,17.751577,23.036364,17.785822,0.17140538,0.0007982784,0.03424415,0.034253452,2.7222593,13.456056,13.728662,3,0.5,25.757826,4.2955217
4,0.5639497,5.4816747,10.901575,5.4750924,10.909191,0.32971945,0.0065822275,0.007616056,0.010066282,20.276152,6.606053,21.325155,2,0.5,25.757826,4.2955217
5,0.5039963,22.7679,8.869028,22.79642,8.8848,0.263341,0.02851895,0.01577175,0.032589547,2.9899247,4.5735064,5.4641204,1,0.5,25.757826,4.2955217
6,0.5146792,29.780737,15.539051,29.78355,15.56615,0.2746231,0.0028137406,0.027098466,0.027244154,4.0229115,11.243529,11.941557,3,0.5,25.757826,4.2955217
7,0.43850964,8.104416,15.84703,8.102607,15.865993,0.1993527,0.0018090855,0.018962884,0.019048983,17.65341,11.551508,21.096924,3,0.5,25.757826,4.2955217
8,0.50016654,42.329655,17.54953,42.3315,17.5694,0.25935408,0.001844411,0.019871844,0.019957256,16.571829,13.254007,21.220139,3,0.5,25.757826,4.2955217
9,0.45157304,37.538113,15.752219,37.54322,15.770911,0.21140723,0.0051083346,0.01869231,0.01937776,11.780286,11.456697,16.432621,3,0.5,25.757826,4.2955217
10,0.42397302,13.385684,11.598421,13.386062,11.598752,0.18635467,0.0003776915,0.00033173832,0.00050269393,12.372142,7.302899,14.366706,2,0.5,25.757826,4.2955217
11,0.48065698,40.196228,2.4940856,40.206463,2.5025399,0.2395159,0.010234182,0.008454141,0.013274448,14.438402,-1.8014362,14.550348,0,0.5,25.757826,4.2955217
12,0.48834193,8.064737,14.923249,8.065622,14.942341,0.24723607,0.00088558893,0.01909184,0.019112369,17.693089,10.6277275,20.639622,2,0.5,25.757826,4.2955217
13,0.56970364,34.94506,0.9003598,34.96252,0.9045921,0.33648196,0.017459208,0.004232303,0.017964864,9.187237,-3.3951619,9.794511,0,0.5,25.757826,4.2955217
14,0.49067843,45.043903,15.432849,45.04315,15.44819,0.24960756,0.0007487137,0.015341354,0.015359612,19.286077,11.137327,22.270897,3,0.5,25.757826,4.2955217
15,0.48500782,8.980439,5.624712,8.972672,5.6339054,0.24387166,0.0077670235,0.009193461,0.012035214,16.777386,1.3291903,16.829956,1,0.5,25.757826,4.2955217
16,0.36156538,4.8337235,3.7836263,4.8317366,3.7780347,0.13553065,0.0019870552,0.005591539,0.005934113,20.924103,-0.5118954,20.930363,0,0.5,25.757826,4.2955217
17,0.5327871,45.913853,2.8341644,45.91736,2.836461,0.2942871,0.0035029107,0.002296734,0.004188719,20.156029,-1.4613575,20.208935,0,0.5,25.757826,4.2955217
18,0.4836454,40.837875,10.931216,40.849354,10.947192,0.24250345,0.011481024,0.015976518,0.019673917,15.080049,6.635694,16.475445,2,0.5,25.757826,4.2955217
19,0.354647,41.083447,11.73229,41.08958,11.749843,0.13039365,0.0061363126,0.017552003,0.01859374,15.32562,7.4367685,17.034676,2,0.5,25.757826,4.2955217
20,0.5215973,6.2130504,6.973255,6.205625,6.973568,0.2820555,0.007425298,0.00031258364,0.0074318745,19.544775,2.6777334,19.727354,1,0.5,25.757826,4.2955217
21,0.51742005,20.33343,5.034004,20.30231,5.0170093,0.2775558,0.031118583,0.01699469,0.035456814,5.4243956,0.7384823,5.4744334,1,0.5,25.757826,4.2955217
22,0.49441522,16.278875,18.02344,16.276718,18.049255,0.25342384,0.0021578975,0.025815936,0.025905965,9.47895,13.727918,16.682512,3,0.5,25.757826,4.2955217
23,0.48837855,14.146573,16.167622,14.142818,16.182764,0.24727315,0.0037552118,0.015142478,0.015601162,11.611252,11.872099,16.606262,3,0.5,25.757826,4.2955217
24,0.5295833,41.35251,14.950697,41.357643,14.963301,0.29075846,0.0051357285,0.012603724,0.013609907,15.594683,10.655175,18.887215,2,0.5,25.757826,4.2955217
25,0.51663154,27.967573,13.643204,27.964441,13.67938,0.2767105,0.0031318327,0.036176607,0.036311917,2.2097476,9.347682,9.605319,2,0.5,25.757826,4.2955217
26,0.5458904,14.564222,6.814017,14.554269,6.840364,0.30894038,0.009954009,0.026346998,0.028164633,11.193603,2.5184953,11.473429,1,0.5,25.757826,4.2955217
27,0.5416905,36.507595,10.878101,36.517178,10.902917,0.304205,0.0095835775,0.024814866,0.026601177,10.74977,6.58258,12.605075,2,0.5,25.757826,4.2955217
28,0.5792553,10.813236,0.0,10.801737,0.0,0.3478595,0.011499201,0.0,0.011499201,14.944589,-4.2955217,15.54967,0,0.5,25.757826,4.2955217
29,0.5803368,21.796457,6.846085,21.708923,6.8850284,0.34915963,0.087534055,0.038943354,0.095806025,3.9613683,2.5505633,4.7114553,1,0.5,25.757826,4.2955217
30,0.5057963,33.740723,7.0469956,33.772552,7.0775476,0.2652254,0.03183036,0.030551784,0.044120103,7.982896,2.751474,8.4437685,1,0.5,25.757826,4.2955217
31,0.46186307,39.517406,9.896766,39.511196,9.910729,0.2211517,0.0062115714,0.013963219,0.01528251,13.759582,5.601244,14.855976,1,0.5,25.757826,4.2955217
32,0.5014503,15.993596,15.529035,15.991442,15.555962,0.2606871,0.002154474,0.026927553,0.027013605,9.764229,11.233513,14.88395,3,0.5,25.757826,4.2955217
33,0.51439106,8.164014,17.14898,8.156948,17.169466,0.27431566,0.007065884,0.020486152,0.021670468,17.593811,12.853458,21.788841,3,0.5,25.757826,4.2955217
34,0.52642614,19.96639,13.167117,19.967321,13.195986,0.28730205,0.00093133596,0.02886832,0.028883338,5.7914357,8.871595,10.594618,2,0.5,25.757826,4.2955217
35,0.5606049,7.328512,16.473707,7.324789,16.48991,0.32581988,0.0037233187,0.016202172,0.016624484,18.429314,12.178186,22.08954,3,0.5,25.757826,4.2955217
36,0.5032617,13.863434,2.3221025,13.842849,2.3261905,0.26257387,0.020584589,0.004087915,0.020986576,11.894392,-1.9734193,12.056987,0,0.5,25.757826,4.2955217
37,0.575949,18.391071,18.088514,18.39049,18.116005,0.34389976,0.00058302307,0.027491992,0.027498173,7.3667536,13.792992,15.636997,3,0.5,25.757826,4.2955217
38,0.48657954,39.88581,10.77024,39.90087,10.774995,0.24545477,0.015062311,0.0047548837,0.015795004,14.127985,6.474718,15.540976,2,0.5,25.757826,4.2955217
39,0.62930304,39.09494,11.631618,39.104103,11.659524,0.41056648,0.009162479,0.027906625,0.029372277,13.337113,7.3360953,15.221593,2,0.5,25.757826,4.2955217
40,0.5037745,18.708977,8.447516,18.658756,8.492492,0.26310933,0.050220147,0.04497445,0.067414865,7.048848,4.151995,8.18079,1,0.5,25.757826,4.2955217
41,0.5212621,15.29807,0.93986315,15.268476,0.9457673,0.28169304,0.029594764,0.0059041455,0.030177956,10.459755,-3.3556585,10.98485,0,0.5,25.757826,4.2955217
42,0.49595457,13.124691,14.829586,13.113256,14.853443,0.25500438,0.011434061,0.023857115,0.026455617,12.633135,10.534064,16.448788,2,0.5,25.757826,4.2955217
43,0.4657585,16.078472,7.6794734,16.057484,7.67831,0.2248979,0.020988232,0.0011632693,0.021020444,9.679353,3.3839517,10.253829,1,0.5,25.757826,4.2955217
44,0.4540822,17.095665,13.381201,17.091171,13.412374,0.21376309,0.0044933693,0.031172916,0.031495094,8.66216,9.085679,12.55319,2,0.5,25.757826,4.2955217
45,0.43044057,34.004852,7.940876,34.030796,7.9719677,0.19208357,0.025944209,0.031091904,0.04049455,8.247028,3.645354,9.016767,1,0.5,25.757826,4.2955217
46,0.43290862,12.837147,12.735582,12.83639,12.757673,0.19429262,0.0007572564,0.02209025,0.022103226,12.920679,8.440061,15.433035,2,0.5,25.757826,4.2955217
47,0.46482748,10.501991,17.69321,10.504523,17.721346,0.2239997,0.0025316395,0.028133916,0.028247591,15.255835,13.39769,20.30366,3,0.5,25.757826,4.2955217
48,0.60995847,36.541355,16.11089,36.548946,16.13521,0.3857131,0.007592265,0.02432124,0.02547872,10.783529,11.815367,15.996481,3,0.5,25.757826,4.2955217
49,0.5632405,8.674744,0.0,8.665004,0.0,0.3288907,0.009739514,0.0,0.009739514,17.083082,-4.2955217,17.614857,0,0.5,25.757826,4.2955217
50,0.45630124,39.288387,4.2540007,39.305305,4.2646303,0.21585749,0.01691987,0.010630007,0.019981967,13.5305605,-0.04152133,13.530623,0,0.5,25.757826,4.2955217
51,0.6128293,2.5237222,6.48534,2.5240388,6.4871163,0.3893524,0.0003166596,0.0017762692,0.0018042743,23.234104,2.1898181,23.33707,1,0.5,25.757826,4.2955217
52,0.49368688,1.4821175,0.8745993,1.4726181,0.87955004,0.25267774,0.009499448,0.0049507613,0.010712123,24.275707,-3.4209225,24.51556,0,0.5,25.757826,4.2955217
