id,r,x0,y0,xf,yf,mass,Δx,Δy,Δr,dx,dy,dr,height_strat,perturb_strengh,perturb_x,perturb_y
1,0.51890004,27.74329,13.793607,27.744057,13.811641,0.27914584,0.00076695904,0.018033974,0.018050274,10.71137,11.378581,15.627078,2,0.5,38.45466,2.4150255
2,0.43805233,32.541145,0.0,32.53253,0.0,0.1989371,0.008615796,0.0,0.008615796,5.9135137,-2.4150255,6.387644,0,0.5,38.45466,2.4150255
3,0.46382824,16.554369,2.0369456,16.54124,2.0396793,0.22303765,0.013129356,0.0027339198,0.013410977,21.90029,-0.3780799,21.903553,0,0.5,38.45466,2.4150255
4,0.40167233,19.997705,0.0,19.995443,0.0,0.167266,0.0022606459,0.0,0.0022606459,18.456955,-2.4150255,18.614285,0,0.5,38.45466,2.4150255
5,0.51837075,11.947057,5.870278,11.947666,5.8799524,0.27857667,0.0006087646,0.009674224,0.009693359,23.492397,3.4552526,23.745136,1,0.5,38.45466,2.4150255
6,0.527762,27.190445,8.853497,27.170908,8.869017,0.28876197,0.019535877,0.015519644,0.024950147,11.264215,6.4384713,12.974454,1,0.5,38.45466,2.4150255
7,0.4711925,27.040836,4.289893,27.021894,4.285643,0.23017628,0.018941807,0.00425005,0.019412752,11.413824,1.8748679,11.566785,0,0.5,38.45466,2.4150255
8,0.50087607,33.364937,5.7048106,33.334877,5.738123,0.26009044,0.030060736,0.03331228,0.044870436,5.089722,3.2897854,6.06036,1,0.5,38.45466,2.4150255
9,0.49824244,17.064224,17.638044,17.059227,17.656784,0.25736248,0.0049968474,0.018740764,0.019395482,21.390436,15.223019,26.254354,3,0.5,38.45466,2.4150255
10,0.42342293,30.131136,9.620572,30.106153,9.648867,0.18587138,0.024982667,0.028294852,0.037745625,8.323524,7.205547,11.009131,1,0.5,38.45466,2.4150255
11,0.5062978,43.05444,13.179062,43.058216,13.205284,0.26575166,0.003774542,0.026221879,0.02649215,4.59978,10.764036,11.70566,2,0.5,38.45466,2.4150255
12,0.49452487,27.59626,16.74975,27.599451,16.77716,0.25353625,0.003190544,0.027410569,0.027595632,10.8584,14.334724,17.983025,3,0.5,38.45466,2.4150255
13,0.4776575,46.644398,7.4833508,46.663067,7.512859,0.23653588,0.018670306,0.02950795,0.03491847,8.189735,5.0683255,9.631184,1,0.5,38.45466,2.4150255
14,0.46713054,5.02872,0.0,5.033889,0.0,0.22622487,0.0051692524,0.0,0.0051692524,16.57406,-2.4150255,16.749083,0,0.5,38.45466,2.4150255
15,0.53729194,8.902578,9.933172,8.903292,9.9474745,0.29928467,0.0007130437,0.014301982,0.014319746,20.447918,7.5181475,21.786232,1,0.5,38.45466,2.4150255
16,0.49926636,42.08282,0.0,42.086098,0.0,0.25842136,0.003275501,0.0,0.003275501,3.6281621,-2.4150255,4.3584294,0,0.5,38.45466,2.4150255
17,0.4719251,16.406805,16.908518,16.40378,16.920479,0.23089258,0.0030255604,0.011960955,0.012337685,22.047853,14.493492,26.38502,3,0.5,38.45466,2.4150255
