id,r,x0,y0,xf,yf,mass,Δx,Δy,Δr,dx,dy,dr,height_strat,perturb_strengh,perturb_x,perturb_y
1,0.57103264,0.10293595,1.9007319,0.09909739,1.9003383,0.33805367,0.003838556,0.00039366315,0.0038586892,15.715348,-7.208002,17.289518,0,0.5,15.818285,9.108734
2,0.5055886,39.811325,0.92891765,39.81165,0.92937475,0.26500762,0.0003247215,0.00045712283,0.0005607186,23.993038,-8.179816,25.34907,0,0.5,15.818285,9.108734
3,0.47259444,42.092342,1.7660172,42.09222,1.7668635,0.231548,0.00012265194,0.00084625254,0.00085509464,23.725943,-7.3427167,24.83618,0,0.5,15.818285,9.108734
4,0.5882483,36.37991,17.06233,36.37657,17.081367,0.35874447,0.0033381071,0.019037819,0.019328257,20.561625,7.9535956,22.046318,3,0.5,15.818285,9.108734
5,0.47496343,48.196434,9.700625,48.197376,9.70884,0.2338752,0.0009415462,0.008214687,0.008268469,17.62185,0.59189165,17.631786,1,0.5,15.818285,9.108734
6,0.48085958,40.481213,7.563292,40.484917,7.5689487,0.23971783,0.0037059914,0.005656926,0.0067627793,24.662926,-1.5454421,24.7113,1,0.5,15.818285,9.108734
7,0.4991024,10.0346155,18.361311,10.016926,18.381937,0.2582517,0.017689511,0.02062474,0.027171653,5.7836695,9.252578,10.911509,3,0.5,15.818285,9.108734
8,0.44279203,16.21356,8.157015,15.990538,7.961869,0.20326538,0.22302142,0.1951463,0.29634547,0.39527485,-0.9517189,1.0305393,1,0.5,15.818285,9.108734
9,0.5098725,12.085954,10.602132,12.031057,10.629028,0.26951748,0.054895952,0.026896242,0.06113079,3.7323313,1.4933978,4.0200167,2,0.5,15.818285,9.108734
10,0.547856,17.107365,9.078471,17.286825,9.2185755,0.31116918,0.17946087,0.14010458,0.2276741,1.2890801,-0.030263223,1.2894353,1,0.5,15.818285,9.108734
11,0.60509694,4.616404,10.474201,4.614354,10.491875,0.37958908,0.002049754,0.017673565,0.017792031,11.20188,1.3654668,11.284797,2,0.5,15.818285,9.108734
12,0.5210509,17.560286,15.506501,17.55066,15.536225,0.28146476,0.009626507,0.029724555,0.031244501,1.7420018,6.397767,6.630686,3,0.5,15.818285,9.108734
13,0.53192353,36.413437,0.93160725,36.415096,0.93299234,0.29333386,0.001657935,0.0013851082,0.002160387,20.595152,-8.177127,22.1591,0,0.5,15.818285,9.108734
14,0.44665444,39.630043,0.0,39.62807,0.0,0.20682696,0.0019717936,0.0,0.0019717936,23.811758,-9.108734,25.494488,0,0.5,15.818285,9.108734
15,0.4902465,6.6750684,0.0,6.667036,0.0,0.24916832,0.008032229,0.0,0.008032229,9.143216,-9.108734,12.906101,0,0.5,15.818285,9.108734
16,0.5825803,7.2373657,1.0757701,7.227658,1.0747005,0.3518645,0.009708285,0.0010696325,0.009767032,8.580918,-8.032964,11.754177,0,0.5,15.818285,9.108734
17,0.57929415,46.671856,8.516975,46.67497,8.527717,0.3479061,0.0031132966,0.010741076,0.011183172,19.146431,-0.59175867,19.155573,1,0.5,15.818285,9.108734
18,0.36119404,15.847175,3.5620809,15.842708,3.5332525,0.1352524,0.0044673677,0.028828474,0.02917256,0.028890062,-5.546653,5.546728,0,0.5,15.818285,9.108734
19,0.56118536,47.352066,12.741345,47.346638,12.755239,0.32649493,0.005426779,0.013893169,0.014915431,18.466219,3.6326118,18.820126,2,0.5,15.818285,9.108734
20,0.4640127,7.5839143,11.009424,7.529468,11.042201,0.2232151,0.054446287,0.032776415,0.0635507,8.23437,1.9006904,8.450886,2,0.5,15.818285,9.108734
21,0.4749916,24.74623,17.977568,24.747267,18.004925,0.23390293,0.0010383986,0.027358118,0.027377818,8.927944,8.868834,12.584291,3,0.5,15.818285,9.108734
22,0.57550144,24.084002,3.734585,24.08973,3.7349641,0.3433655,0.005727849,0.00037910216,0.005740381,8.2657175,-5.374149,9.859187,0,0.5,15.818285,9.108734
23,0.48260245,37.212715,14.03531,37.213352,14.046817,0.24145868,0.0006388503,0.011507149,0.011524869,21.394428,4.9265757,21.954332,2,0.5,15.818285,9.108734
24,0.4284888,3.6682985,13.060224,3.6543772,13.076239,0.19034554,0.013921367,0.016014872,0.021219816,12.149986,3.95149,12.7764015,2,0.5,15.818285,9.108734
25,0.3743465,35.746532,9.504372,35.74793,9.509392,0.14528184,0.0013962036,0.0050202976,0.005210832,19.92825,0.3956373,19.932177,1,0.5,15.818285,9.108734
26,0.46179903,48.147877,1.9489623,48.144035,1.9493567,0.22109038,0.0038416334,0.0003943107,0.0038618166,17.670406,-7.1597714,19.065823,0,0.5,15.818285,9.108734
27,0.5537504,6.7437696,14.389475,6.733696,14.404858,0.317901,0.010073616,0.015382583,0.01838754,9.074515,5.280741,10.499192,2,0.5,15.818285,9.108734
28,0.57755095,22.530634,10.401138,22.56623,10.425608,0.34581545,0.035596363,0.024469076,0.043195333,6.712349,1.2924042,6.8356376,2,0.5,15.818285,9.108734
29,0.43499148,33.885033,6.9592123,33.884235,6.9548674,0.19616671,0.0007969977,0.004344868,0.0044173617,18.066748,-2.1495218,18.19417,1,0.5,15.818285,9.108734
30,0.39292213,41.070107,13.781767,41.06635,13.79521,0.16005777,0.0037595173,0.013443025,0.0139588285,24.748178,4.6730328,25.185503,2,0.5,15.818285,9.108734
31,0.46889186,39.33733,1.7765225,39.3379,1.7775092,0.22793406,0.0005680736,0.0009866488,0.0011385006,23.519047,-7.3322115,24.635479,0,0.5,15.818285,9.108734
32,0.5389921,4.6077375,13.279201,4.5917687,13.297851,0.30118173,0.01596884,0.018650593,0.024552973,11.210547,4.1704664,11.961152,2,0.5,15.818285,9.108734
33,0.43782523,30.907185,15.984074,30.918665,16.005764,0.19873089,0.011479658,0.021690542,0.02454103,15.088901,6.87534,16.581472,3,0.5,15.818285,9.108734
34,0.6137151,25.983862,1.2059245,25.988438,1.2043129,0.39047876,0.0045758807,0.0016116236,0.0048513934,10.165576,-7.9028096,12.876077,0,0.5,15.818285,9.108734
35,0.5336786,19.49774,13.188315,19.539236,13.253667,0.29527274,0.041496985,0.06535217,0.077413864,3.6794548,4.0795813,5.4937572,2,0.5,15.818285,9.108734
36,0.50898117,27.466455,1.7428346,27.471704,1.7437724,0.26857603,0.0052490453,0.00093786116,0.0053321724,11.64817,-7.3658996,13.781739,0,0.5,15.818285,9.108734
37,0.49816674,17.474548,2.7750165,17.471193,2.7675638,0.25728428,0.003353768,0.0074526584,0.008172507,1.6562634,-6.3337173,6.546693,0,0.5,15.818285,9.108734
38,0.536588,11.860668,8.734595,11.7999735,8.769953,0.29850096,0.060694616,0.03535754,0.07024238,3.9576168,-0.37413836,3.9752624,1,0.5,15.818285,9.108734
39,0.46760795,8.849292,5.951626,8.834294,5.9408417,0.2266875,0.014997034,0.010784087,0.018471805,6.968993,-3.1571083,7.6507645,1,0.5,15.818285,9.108734
40,0.4205172,23.329742,14.424997,23.35156,14.454365,0.18332908,0.021818453,0.029366897,0.036584962,7.511457,5.3162637,9.202426,2,0.5,15.818285,9.108734
41,0.5011504,20.829973,8.787107,20.893244,8.777783,0.26037544,0.06327039,0.0093241185,0.06395375,5.011689,-0.32162663,5.0219984,1,0.5,15.818285,9.108734
42,0.5454047,25.436985,8.842536,25.45675,8.852646,0.3083909,0.019764299,0.0101095615,0.022199793,9.618701,-0.26619768,9.622384,1,0.5,15.818285,9.108734
43,0.52348065,46.41376,14.386028,46.409393,14.398228,0.28409594,0.004365746,0.012198849,0.012956529,19.404526,5.2772946,20.109337,2,0.5,15.818285,9.108734
44,0.5295711,38.671425,7.077406,38.674442,7.0820227,0.2907451,0.0030171103,0.004616439,0.005514931,22.85314,-2.0313277,22.943241,1,0.5,15.818285,9.108734
45,0.4169374,44.394833,1.7623491,44.39027,1.7658474,0.18022108,0.0045621977,0.003498323,0.0057490794,21.42345,-7.346385,22.648039,0,0.5,15.818285,9.108734
46,0.44195914,22.943893,0.7716809,22.943417,0.7722021,0.20250143,0.00047633363,0.000521192,0.00070607,7.125609,-8.337053,10.967258,0,0.5,15.818285,9.108734
47,0.4618759,43.079945,5.174255,43.078194,5.1820235,0.22116397,0.0017501867,0.0077682864,0.007963004,22.73834,-3.9344788,23.076227,1,0.5,15.818285,9.108734
48,0.49792108,30.416012,5.378238,30.430382,5.3859553,0.25703058,0.014370291,0.007717157,0.016311338,14.597727,-3.7304957,15.066859,1,0.5,15.818285,9.108734
49,0.5078771,16.987926,0.0,16.984133,0.0,0.26741213,0.0037938552,0.0,0.0037938552,1.1696419,-9.108734,9.183523,0,0.5,15.818285,9.108734
50,0.44343448,45.541172,0.93232244,45.53868,0.9327437,0.20385565,0.0024924143,0.00042126363,0.002527764,20.277111,-8.176412,21.863552,0,0.5,15.818285,9.108734
51,0.57546234,33.928413,12.410601,33.931877,12.423845,0.34331885,0.0034628704,0.01324502,0.0136902165,18.110128,3.3018668,18.408669,2,0.5,15.818285,9.108734
52,0.50464404,13.007571,0.0,12.999793,0.0,0.2640184,0.0077785724,0.0,0.0077785724,2.8107133,-9.108734,9.532531,0,0.5,15.818285,9.108734
53,0.49015647,45.64128,10.456193,45.645218,10.467884,0.24907681,0.0039365166,0.011690694,0.012335659,20.177004,1.3474593,20.221947,2,0.5,15.818285,9.108734
